Req	X_Coor	Y_Coor	Arr	E	L
0	35	35	-1	0	540
1	11	31	2	61	121
2	18	18	16	131	191
3	37	31	18	165	225
4	41	49	20	241	301
5	47	16	21	365	425
6	55	5	23	420	480
7	67	5	31	155	215
8	13	52	41	274	334
9	35	40	44	91	151
10	49	42	51	325	385
11	23	3	64	424	484
12	50	35	65	304	364
13	24	58	69	212	272
14	30	5	71	270	330
15	31	52	72	144	204
16	49	42	80	202	262
17	10	20	82	87	147
18	20	26	83	254	314
19	53	12	84	477	537
20	25	21	92	397	457
21	10	43	100	376	436
22	25	30	108	455	515
23	61	52	109	442	502
24	45	10	111	337	397
25	42	7	112	345	405
26	2	60	112	188	248
27	6	68	116	296	356
28	55	60	117	370	430
29	57	29	119	162	222
30	2	60	130	166	226
31	47	47	133	326	386
32	49	11	140	362	422
33	26	52	143	148	208
34	55	60	147	266	326
35	22	22	155	397	457
36	49	42	159	316	376
37	50	35	165	341	401
38	36	26	166	249	309
39	50	35	172	244	304
40	35	40	176	459	519
41	55	60	184	416	476
42	56	37	189	331	391
43	19	21	191	297	357
44	40	25	201	206	266
45	67	5	205	209	269
46	15	77	205	358	418
47	31	52	206	294	354
48	26	27	209	424	484
49	20	50	209	391	451
50	45	10	210	303	363
51	20	50	214	216	276
52	5	30	227	357	417
53	50	35	229	301	361
54	55	60	231	283	343
55	65	35	238	463	523
56	35	69	243	330	390
57	23	3	245	323	383
58	11	14	247	330	390
59	30	5	248	391	451
60	26	52	255	462	522
61	55	45	260	395	455
62	42	7	260	347	407
63	60	12	264	293	353
64	26	52	280	323	383
65	11	31	286	468	528
66	20	50	288	420	480
67	41	49	293	363	423
68	49	11	295	462	522
69	55	54	296	382	442
70	15	30	315	377	437
71	15	10	322	343	403
72	67	5	324	473	533
73	45	30	326	430	490
74	65	55	335	359	419
75	31	67	337	418	478
76	25	21	342	453	513
77	26	27	354	405	465
78	42	7	355	462	522
79	65	35	357	470	530
80	24	12	358	420	480
81	45	10	367	381	441
82	67	5	373	470	530
83	8	56	377	381	441
84	65	20	377	434	494
85	15	10	378	417	477
86	2	48	379	436	496
87	49	73	380	397	457
88	49	58	392	479	539
89	26	27	395	429	489
90	22	22	405	412	472
91	13	52	415	469	529
92	25	21	422	437	497
93	45	10	423	462	522
94	55	20	436	440	500
95	6	38	437	478	538
96	11	14	440	447	507
97	57	29	441	451	511
98	25	21	442	453	513
99	30	60	443	477	537
100	45	65	448	460	520
101	37	31	453	461	521
102	62	77	457	479	539
103	55	5	473	480	540
